* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-5-9,00:05:00
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1010,2.69,21,49,84
983.3,2.72,19,281,92
955.1,2.7,17,531,93
928,2.64,15.4,776,93
901,2.61,14,1027,92
874.3,2.58,12.5,1280,89
847,2.53,10.9,1546,86
820.5,2.58,10,1811,74
795.9,2.54,8.5,2065,86
772.1,2.53,7.4,2315,79
750,2.46,6.2,2554,80
728.2,2.53,5.6,2796,64
706,2.56,4.3,3049,54
683.2,2.57,2.6,3315,53
662.2,2.93,2.9,3567,21
642.5,3.07,1.4,3811,13
624.5,3.03,0.4,4039,4
606.4,3.2,0.2,4275,1
590.4,3.05,-0.9,4488,2
574.2,2.88,-2.2,4709,15
557.9,2.28,-3,4937,6
542.6,2.64,-4.5,5157,14
527.8,2.84,-6,5373,11
514.1,2.53,-7.2,5579,17
500,2.22,-9.3,5795,20
486.5,2.13,-11,6006,19
472.5,2.05,-12.3,6230,19
459.4,2,-13.7,6444,18
446.8,1.92,-15.5,6654,21
434.6,1.86,-17.4,6862,21
422.4,1.84,-19,7075,19
410.8,1.81,-20.9,7282,18
399.7,1.77,-22.6,7483,19
388.8,1.68,-24.4,7685,22
378.4,1.69,-25.9,7881,21
367.8,1.67,-27.7,8087,35
357.5,1.58,-29.3,8290,39
346.8,1.56,-30.9,8506,24
335.4,1.56,-32.9,8742,35
322.8,1.41,-35.4,9010,61
310.5,1.33,-37.6,9279,72
299.9,1.26,-39.2,9517,80
289.5,1.19,-41.1,9759,82
279.5,1.18,-43.2,9997,82
270.2,1.11,-45.1,10224,77
261.3,1.06,-47,10447,76
252.4,1.05,-49.1,10675,71
243.9,1.01,-51.1,10900,69
235.6,0.99,-53,11123,69
227.6,0.95,-55,11344,66
219.6,0.91,-57.2,11573,68
211.8,0.87,-59.3,11799,71
204,0.87,-61.3,12032,71
196.8,0.98,-63,12255,56
190,0.89,-64.9,12472,38
183.3,0.94,-66.7,12690,32
176.8,0.93,-68.3,12907,32
169.9,1.38,-65.9,13143,32
164.4,2.59,-63.1,13346,22
157.9,2.78,-61.2,13595,10
150.8,3,-61.6,13883,6
144.8,2.63,-63.4,14133,4
138.3,2.15,-62.9,14412,4
129.8,2.05,-65,14801,4
124,1.98,-67.5,15080,4
119.2,1.94,-68.5,15316,4
114.9,1.69,-67.6,15538,4
110.1,1.66,-69.4,15791,4
105.7,1.64,-70.7,16033,5
101.7,1.87,-70.4,16263,5
98,2.03,-70.7,16486,5
94.1,2.33,-71.2,16725,5
90.2,2.84,-71.5,16971,5
86.8,3.09,-70.8,17198,5
83.7,2.91,-69.8,17417,5
80.6,2.35,-69.5,17641,4
77.6,2.61,-68.6,17871,4
74.5,3.32,-69,18109,4
71.7,5.13,-67.9,18339,4
69,5.06,-68.7,18569,4
66.4,4.05,-68.8,18800,4
63.9,4.46,-66.6,19036,3
61.4,4.95,-65.9,19276,3
59.1,5.03,-65,19503,3
57,5.42,-64,19726,3
54.9,5.83,-63.4,19959,2
52.9,7.82,-61.4,20186,2
51.1,8.34,-60.8,20401,2
49.3,8.69,-60.2,20623,2
47.6,8,-61,20848,2
45.9,8.1,-61.1,21074,2
44.2,8.06,-62.4,21300,2
42.6,8,-63.5,21530,2
41.1,8.01,-62.7,21746,2
39.6,8.5,-61.5,21980,2
38.1,8.91,-62.1,22216,2
36.8,9.02,-60.6,22435,2
35.5,9.41,-59,22650,1
34.3,9.35,-58.9,22877,1
33,9.03,-58.1,23121,1
31.7,6.79,-56.9,23361,1
30.6,0.52,-56.6,23598,1
29.4,0.3,-56.8,23852,1
28.2,0.89,-56.9,24101,1
27.2,0.49,-56.4,24350,1
26.2,0.55,-54.8,24590,1
25.2,0.73,-54.5,24829,1
24.3,0.33,-53.9,25069,1
23.3,0.34,-53.2,25328,1
22.4,0.28,-52.5,25593,1
21.5,0.59,-52,25843,1
20.7,1.25,-51.2,26098,1
19.9,0.33,-49.9,26369,1
