* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-12-29,23:49
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1015.3,0.94,26,49,65
987.3,1.02,20.5,291,78
960,1.02,18.4,533,87
928.2,1.06,16.7,822,73
900.3,1.16,15,1082,73
872.8,1.17,13.6,1344,74
844.7,1.23,12.2,1619,65
815.5,1.23,10.1,1913,72
786.8,1.14,8,2211,90
760.9,1.07,8,2487,70
737.5,1.25,6.7,2745,65
712.2,3.12,7.6,3032,10
692.1,3.33,6.5,3266,10
674.6,3.56,5.5,3476,6
655.5,3.65,3.7,3710,9
636.1,3.57,1.7,3953,13
614,2.72,-0.3,4237,8
589.4,2.71,-2.3,4561,7
568,2.59,-4,4855,6
545.8,2.73,-5.8,5167,22
527.7,2.17,-8.1,5430,35
511,2.02,-10.1,5679,36
490.2,2.08,-11.5,5998,16
471.3,2.16,-13.7,6298,16
452.3,2.11,-15.2,6611,6
433.8,2.34,-17.7,6925,4
415.8,2.51,-20.2,7239,5
398.6,1.74,-22.9,7550,25
382.1,1.6,-25.5,7858,23
366.3,1.58,-28.2,8165,20
352.2,1.59,-30.5,8444,19
335,1.64,-33.6,8797,20
317.9,1.42,-36.6,9163,23
300.3,1.46,-39.5,9554,20
284,1.62,-42,9935,12
268.7,1.53,-45,10306,13
254.3,1.83,-47.6,10674,12
240,2.42,-50.6,11051,13
226.2,3.23,-52.7,11434,12
213.5,3.35,-53.9,11808,11
201.6,3.56,-53.8,12176,7
190.9,3.29,-53.5,12524,5
180.5,3.14,-52.9,12886,3
170.7,2.17,-53.3,13246,2
161.3,1.95,-55.1,13609,1
152.5,1.95,-56.2,13967,1
143.9,1.84,-58,14335,1
135.7,2.01,-60.1,14701,1
130.2,2.05,-62,14960,2
125.3,2.06,-63.9,15196,2
120.5,2.08,-65.5,15433,2
115.8,2.12,-67.3,15676,2
110.9,2.15,-69,15933,3
106.4,2.18,-69.8,16183,3
101.9,2.22,-70.5,16437,3
97.6,2.36,-70.7,16695,3
93.5,2.54,-70.1,16950,3
89.4,2.48,-71.2,17213,3
85.5,2.63,-71.9,17476,3
81.8,2.99,-71.9,17739,3
78.1,2.95,-74.1,18011,3
74.7,3.41,-73.4,18265,4
71.5,4.6,-72.7,18526,4
68.3,5.65,-71.6,18791,4
65.3,5.69,-72.1,19055,3
62.4,5.5,-71.6,19328,3
59.5,6.28,-71.3,19608,3
56.7,6.68,-70.3,19888,3
54.1,7.35,-69,20167,2
51.8,8.38,-67.7,20435,2
49.5,8.65,-66,20701,2
47.3,8.96,-65.3,20980,1
45.1,9.66,-63.7,21270,1
43,10.76,-62.5,21565,1
41,11.82,-60.6,21855,1
39.2,12,-59.9,22138,1
37.5,12.86,-56.2,22424,1
35.9,12.97,-55.8,22700,1
34.3,13.38,-55.5,22985,1
32.8,13.25,-56.1,23277,1
31.3,13.48,-56.2,23569,1
29.9,14.01,-54.1,23856,1
28.6,14.65,-52.6,24143,1
27.3,15.28,-51.8,24451,1
26,15.48,-51.4,24764,1
24.7,15.37,-51.8,25086,1
23.6,15.45,-51.8,25384,1
22.6,15.4,-50.3,25663,1
21.7,15.46,-51.3,25950,1
20.7,15.21,-49.7,26243,1
19.8,15.02,-49.1,26550,1
18.9,14.9,-48.3,26858,1
18,14.67,-48.1,27154,1
17.2,14.42,-47.6,27453,1
16.4,14.41,-47.4,27767,1
15.7,13.98,-45.5,28072,1
15,13.61,-44.9,28372,1
14.4,13.33,-42.8,28664,1
13.7,12.95,-40.9,28977,1
13.1,12.29,-40.2,29289,1
12.5,11.67,-42.1,29607,1
11.9,11.33,-41.8,29915,1
11.4,10.78,-40,30242,1
10.8,10.22,-39.8,30573,1
10.3,9.73,-39.2,30914,1
