* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-9-12,23:54
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1014.6,3.57,18.2,49,60
976.1,3.52,13.7,378,74
938.2,3.5,10.9,711,79
900.5,3.51,7.9,1051,88
864.3,3.5,5.1,1388,94
831.2,3.69,6,1706,44
798.8,4.55,9.1,2035,7
767.8,4.81,8.5,2361,4
737.7,4.64,6.1,2690,6
708.2,3.93,4.2,3022,17
679.1,2.65,2.4,3363,24
653.1,2.6,0.6,3677,16
625.8,3.19,-1.2,4018,9
602.4,3.52,-2.4,4321,9
578.9,3.25,-5,4635,16
555.7,2.93,-7.3,4954,13
533.3,3.1,-9.8,5274,14
511.1,3.04,-12.7,5599,14
489.5,2.76,-15.3,5927,10
467.2,3.53,-17.6,6278,7
446,3.75,-20,6623,5
425.7,3.96,-22.9,6967,5
406.3,4.06,-25.1,7307,3
389.2,3.59,-27.7,7618,3
372.3,2.69,-30.3,7935,3
357.7,3.11,-32.5,8219,3
341.4,3.25,-35.4,8545,3
325.4,3.17,-38.4,8878,4
310.2,3.15,-41.4,9203,5
295.9,3.1,-43.7,9521,6
281.6,3.1,-45.8,9854,6
267.4,3.07,-48.8,10196,11
253.8,2.87,-51.9,10537,32
242.2,2.63,-54.4,10837,56
231.6,4.11,-53.7,11125,9
222.4,3.92,-54.1,11387,6
213,3.79,-55.8,11661,6
202.8,4.25,-56.1,11972,4
194.5,4.22,-55.7,12240,3
187.4,4.37,-56.1,12475,2
180.2,4.04,-57.5,12723,2
172.7,3.81,-57.5,12991,2
165.5,3.47,-58.1,13259,2
158.6,3.44,-59.1,13526,2
152.5,2.9,-59.6,13774,2
146.2,2.86,-61.4,14037,2
139.6,2.85,-62.1,14321,3
133.7,3.1,-63.4,14589,3
128.2,3.59,-64.2,14847,3
122.6,5.97,-63.2,15120,2
117.5,7.23,-62.9,15378,2
112.6,7.67,-62.8,15644,2
107.4,6.23,-64.5,15930,2
102.8,5.26,-65.2,16202,2
98.3,4.97,-66.7,16472,2
93.9,6.07,-64.9,16748,2
89.7,6.88,-65.7,17028,2
85.5,6.92,-66.8,17316,2
81.8,8.76,-65.9,17583,2
78.4,6.66,-64.4,17845,2
75.1,7.89,-63.5,18107,1
71.8,7.17,-63.7,18385,1
68.3,8.7,-63.4,18690,1
65.2,9.95,-62.6,18977,1
62.4,11.05,-62,19251,1
59.6,11.89,-61.3,19531,1
56.9,12.18,-61.7,19822,1
54.2,12.66,-61.5,20120,1
51.7,12.96,-60.4,20417,1
49.4,14.78,-58.4,20702,1
47.1,15.11,-58.3,20992,1
44.8,15.94,-57.6,21310,1
42.7,16.22,-57,21618,1
40.7,16.64,-56.4,21916,1
38.8,16.61,-56.6,22216,1
37,17.21,-54.6,22522,1
35.2,16.99,-55.4,22848,1
33.4,17.1,-54.5,23171,1
31.8,17.12,-54.1,23484,1
30.3,17.37,-52.3,23800,1
28.8,17.27,-52.6,24131,1
27.4,18.09,-51.3,24454,1
26.1,17.27,-49.3,24781,1
24.8,16.35,-47.9,25107,1
23.6,15.98,-46.8,25427,1
22.5,15.64,-46.7,25749,1
21.4,15.63,-45.4,26081,1
20.4,14.92,-44.5,26393,1
19.6,15.8,-45.1,26682,1
18.7,16.99,-46.6,26989,1
17.8,15.77,-46.2,27319,1
16.9,14.8,-47.5,27647,1
16.1,14.63,-45.2,27959,1
15.4,14.39,-43.6,28255,1
14.8,13.99,-43.5,28538,1
14.2,14.41,-41.8,28836,1
13.5,13.39,-41.9,29150,1
12.9,12.91,-42.7,29459,1
12.3,12.43,-43.6,29765,1
11.8,11.82,-43.8,30052,1
