* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-7-19,00:54:00
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1014.5,3.16,16.9,49,59
984.9,3.2,14.2,300,69
954.2,3.08,11.6,567,77
929.6,3.03,9.5,784,82
908.9,2.97,7.6,970,95
881.2,2.9,5.9,1226,100
848.2,3.03,11.4,1541,1
819.7,3.49,11.8,1826,1
793.9,3.8,10.6,2092,3
768.6,3.76,9.2,2361,2
741.8,3.33,7.8,2654,40
718,3.06,6.7,2923,41
691.3,2.27,5.1,3233,41
669.7,2.2,5.3,3492,31
648.6,2.1,5.2,3753,23
625,2.42,4.6,4055,3
601.6,2.3,2.3,4364,3
581.7,2.49,1.1,4635,2
561.6,2.24,-0.5,4917,3
543.3,2.16,-2.9,5180,3
524.5,1.78,-5.4,5457,6
505.3,1.63,-7.6,5749,7
485.3,1.56,-10.4,6061,10
467,1.57,-13.2,6356,13
450.6,1.49,-15.7,6626,15
434.8,1.3,-17.6,6893,13
419.6,1.3,-19.8,7159,12
404.6,1.27,-22.4,7427,15
389.8,1.28,-24.9,7700,16
376.8,1.23,-25.9,7946,9
364.6,1.31,-26.8,8185,5
351.5,1.27,-28.8,8446,4
338.2,1.22,-31.3,8720,5
327.3,1.17,-33.2,8953,6
316.8,1.05,-35,9180,8
306.5,0.97,-36.6,9409,8
296.2,1.01,-37.8,9645,8
285.2,1.12,-39.9,9905,8
275.2,1.33,-41.2,10148,8
265.7,1.18,-43.3,10385,21
256.4,1.12,-45.7,10624,29
247,1.07,-48.1,10871,37
237.7,1,-50,11123,45
230.1,1.18,-50.4,11335,19
222.5,1.18,-51.2,11556,12
215,1.11,-52.7,11775,11
207.3,1.22,-54.4,12012,10
199.7,1.5,-55.4,12250,7
192.4,1.45,-56.1,12486,6
185.4,1.26,-57.2,12723,6
178.5,1.18,-59.1,12959,6
171.7,1.16,-60.5,13202,7
165,1.17,-62.1,13449,7
158.9,1.27,-63.4,13682,8
152.5,1.27,-64.9,13933,8
146.4,1.32,-66,14183,8
140.1,1.25,-68.2,14447,9
134.3,1.24,-69.7,14698,10
128.7,1.28,-71.2,14953,11
123.7,1.42,-70.3,15187,11
118.7,1.46,-71.2,15433,10
113.5,1.49,-72.5,15697,10
108.4,1.56,-73.1,15966,10
103.9,1.7,-71.6,16215,10
99.8,1.84,-71.1,16455,8
95.6,2.05,-71.1,16705,8
91.6,2.07,-71,16962,7
87.6,2.03,-70.6,17225,6
83.8,2.37,-68.3,17488,5
80.2,2.82,-68.8,17752,4
76.7,2.77,-70.6,18018,4
73.2,3.02,-70.4,18292,4
70.2,3.28,-70.7,18545,3
67.3,3.73,-70.4,18791,3
64.6,4.95,-67.4,19037,3
61.9,5.38,-67.9,19300,3
59.3,6.38,-68,19556,2
56.8,7.48,-67,19810,2
54.5,8.76,-66.4,20067,2
52.3,8.46,-65.5,20313,2
50.2,9.22,-64.1,20564,2
48.1,9.55,-64.4,20820,2
46.1,9.63,-62.7,21078,1
44.3,11,-61.8,21335,1
42.5,11.21,-61.6,21591,1
40.7,11.9,-60.7,21849,1
39.1,13.42,-60.2,22108,1
37.4,12.68,-60.5,22379,1
35.8,12.99,-60.7,22658,1
34.2,13.84,-59.6,22943,1
32.7,13.62,-58.5,23229,1
31.2,13.68,-58.2,23517,1
29.8,13.71,-57.2,23804,1
28.5,13.82,-56.7,24088,1
27.3,13.75,-55.3,24367,1
26.1,14.04,-54.3,24655,1
24.8,13.92,-53.2,24965,1
23.7,13.94,-52.2,25272,1
22.6,13.66,-51.8,25565,1
21.7,12.86,-51.7,25834,1
20.8,11.99,-50.7,26119,1
19.8,11.36,-51.1,26445,1
18.9,10.89,-52.2,26742,1
18.1,10.86,-52,27029,1
17.3,10.41,-50.9,27318,1
16.5,10.4,-49.9,27602,1
15.8,10.34,-49.6,27886,1
15.1,9.86,-49.5,28188,1
14.4,9.36,-48.8,28489,1
13.8,8.9,-46.6,28778,1
13.3,8.58,-46,29049,1
12.8,8.21,-46.3,29313,1
12.2,7.97,-46.8,29590,1
