* GTE (Global Tropospheric Experiment) is a project of NASA Langley Research
* Center (NASA-LaRC).  Ozonesonde launches are one component of the data
* collected in support of this mission.
*
* GTE Station: Easter Island, Chile
*
* Crespo, Juan, Met Office, Easter Island, Chile
* Ozone/Ecc sonde
* Pem-Tropics
* Latitude of Sonde Launch Station:  -27.17 South
* Longitude of Sonde Launch Station: -109.42 West
* Altitude of Sonde Launch Station: 69.2 Meters
* The geometric altitude, integrated column ozone
* and ozone mixing ratio were calculated by NASA
* as data was not provided by Easter.  All sonde
* levels are reported. 
*
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1,1
*
#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1997-1-20,EIMO,1,"Crespo, Juan, , Climatological Services Office, Santiago, Chile"
* NASA-LaRC Project Co-ordinator: Vince Brackett, NASA-LaRC
*
#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL
*
#INSTRUMENT
Name,Model,Number
ECC,na,na
*
#LOCATION
Latitude,Longitude,Height
-27.17,-109.42,69.2
*
#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-9-5,23:39
*
*
#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1018.7,2.31,19.3,49,68
981.1,2.58,15.7,370,82
948.4,2.62,13,658,92
914.3,2.57,10.7,965,98
888.3,2.53,9.4,1205,100
859.1,2.51,8,1482,100
830,2.46,6.3,1766,100
801.7,2.45,4.8,2050,100
777.2,3.65,7.1,2303,11
751.9,3.89,10.2,2578,3
723.4,3.9,9.2,2897,2
698.1,3.68,7.1,3191,3
670.5,3.6,4.9,3520,4
645,2.99,2.1,3835,22
620.9,3.04,-0.2,4141,14
600.8,2.62,-2.1,4403,24
579.2,2.57,-4.4,4693,25
557,2.64,-5.9,4999,18
536.9,2.87,-6.8,5285,10
515,2.67,-9.2,5610,11
494,3.01,-11.2,5929,16
473.7,3.06,-14,6249,23
454.6,2.78,-16.9,6561,29
435.8,2.43,-18.7,6877,10
421.2,2.61,-18.8,7129,3
404.5,2.28,-20.4,7430,11
389.8,2.02,-22.5,7704,15
375.9,1.72,-24.6,7970,17
360.8,1.68,-27.1,8265,16
345.2,1.82,-30.1,8582,20
329.9,1.52,-32.7,8903,33
314,1.38,-35.7,9250,41
299.4,1.32,-37.7,9578,40
286.3,1.48,-40.8,9885,50
276.1,1.35,-43.1,10131,44
266.3,1.33,-45.2,10372,38
254.2,1.63,-47.5,10682,35
241.3,1.63,-50.2,11023,38
231.6,1.8,-52.4,11290,41
223.4,1.63,-52.6,11522,29
215.9,1.39,-53.7,11743,23
208.5,1.33,-55.1,11967,17
200.9,1.35,-57,12203,18
193.3,1.45,-58.2,12446,18
185.9,1.63,-59.7,12691,14
178.2,1.78,-61.4,12953,11
169.7,1.49,-63.8,13257,12
161.2,1.51,-65.2,13570,16
155.1,1.61,-66.1,13803,14
149.2,1.72,-64.8,14038,11
143.2,1.87,-63.8,14289,8
137.5,2,-64.4,14537,6
130.9,2.33,-65.3,14839,6
124.5,2.31,-67.9,15140,6
118.7,2.11,-70.4,15425,7
113.8,2.01,-71.1,15676,7
108.9,2.07,-71.3,15936,7
104.1,1.84,-71.4,16205,7
99.2,1.99,-71.1,16487,7
95.1,2.81,-69.2,16737,6
91.2,3.07,-69.2,16988,5
87.5,2.91,-71,17232,5
83.8,2.89,-70.8,17492,5
80.2,3.43,-70.6,17750,4
76.7,3.89,-69.7,18014,4
73.4,5.04,-70.3,18276,4
70.4,6.09,-68.1,18531,3
67.5,5.99,-66.3,18785,3
64.6,6.94,-66.4,19044,3
61.8,7.21,-66.3,19317,2
59.1,7.48,-66.1,19589,2
56.4,9.11,-65.9,19865,2
53.9,9.21,-66,20142,2
51.5,9.86,-65.6,20416,2
49.4,11.59,-63.8,20672,2
47.3,12.54,-62.3,20947,2
45.2,13.44,-61.6,21223,2
43.2,13.57,-60.9,21505,2
41.3,14.39,-59.9,21780,2
39.5,15.57,-59.9,22065,2
37.8,15.22,-59.6,22342,2
36.1,15.51,-58.5,22618,2
34.5,16.27,-57.1,22903,1
33,16.24,-57.1,23189,2
31.6,16.16,-56.7,23473,2
30.2,16.28,-55.1,23748,1
28.9,16.44,-54.6,24029,1
27.6,16.05,-54.6,24321,1
26.4,15.65,-54.5,24604,1
25.4,15.57,-54.6,24870,1
24.3,15.05,-54.5,25149,1
23.2,14.33,-54.2,25441,1
22.1,14.29,-53.1,25747,1
21.1,13.81,-52.5,26054,1
20.2,13.41,-52.1,26343,1
19.3,12.8,-51.7,26629,1
18.5,12.28,-49.9,26907,1
17.7,11.95,-47,27198,1
16.9,12.08,-46.5,27492,1
16.2,11.68,-46.4,27770,1
15.6,11.6,-45.3,28041,1
14.9,11.27,-44.9,28337,1
14.2,10.84,-43.9,28639,1
13.6,10.48,-43.9,28958,1
13,9.8,-43.9,29268,1
12.4,9.24,-43.4,29573,1
11.9,8.81,-44.2,29870,1
11.4,8.6,-43.5,30142,1
11,8.52,-44,30404,1



